id,tools,price,description,image
1,Akutrell,"€24,24","Võimas akutrell igapäevaseks puurimiseks.",https://dummyimage.com/118x100.png/dddddd/000000
2,Lihvmasin,"€38,93","Sobib pindade lihvimiseks ja viimistlemiseks kiiresti ja lihtsasti.",https://dummyimage.com/234x100.png/dddddd/000000
3,Suruõhukompressor,"€83,66","Hea abiline rehvide täitmiseks.",https://dummyimage.com/162x100.png/ff4444/ffffff
4,Generaator,"€75,79","Mugav vooluallikas, kui elektrit pole.",https://dummyimage.com/144x100.png/cc0000/ffffff
5,Muruniiduk,"€27,10","Hoiab muru korras ja niidetuna",https://dummyimage.com/152x100.png/ff4444/ffffff
6,Tikksaag,"€56,96","Mugav saag puidu ja plastiku lõikamiseks.",https://dummyimage.com/143x100.png/ff4444/ffffff
7,Lehepuhur,"€12,40","Puhastab kiirelt lehed ja mustuse.",https://dummyimage.com/146x100.png/ff4444/ffffff
8,Naelapüstol,"€81,94","Kiire naelte kinnitamine erinevatele materjalidele.",https://dummyimage.com/209x100.png/dddddd/000000
9,Saag,"€17,40","Lihtne saag puidu lõikamiseks kodustes töödes.",https://dummyimage.com/114x100.png/5fa2dd/ffffff
10,Kruvikeeraja,"€24,16","Kruvikeeraja täpseks tööks.",https://dummyimage.com/168x100.png/dddddd/000000
11,Haamer,"€32,18","Mugav haamer kinnitamiseks.",https://dummyimage.com/140x10０.png/ff4444/ffffff
12,Ketassaag,"€62,27","Praktiline ketassaag puidu lõikamiseks.",https://dummyimage.com/192x1００.png/5fa2dd/ffffff
