id,tools,price,description,image
1, Akutrell, "€52,03", "Võimas akutrell igapäevaseks puurimiseks.", http://dummyimage.com/203x100.png/dddddd/000000
2, Lihvmasin, "€19,44", "Sobib pindade lihvimiseks ja viimistlemiseks kiiresti ja lihtsasti.", http://dummyimage.com/161x100.png/cc0000/ffffff
3, Suruõhukompressor, "€48,44", "Hea abiline rehvide täitmiseks.", http://dummyimage.com/155x100.png/dddddd/000000
4, Generaator, "€86,06", "Mugav vooluallikas, kui elektrit pole.",http://dummyimage.com/215x100.png/cc0000/ffffff
5, Muruniiduk, "€23,86", "Hoiab muru korras ja niidetuna.", http://dummyimage.com/136x100.png/dddddd/000000
6, Tikksaag, "€75,34", "Mugav saag puidu ja plastiku lõikamiseks.", http://dummyimage.com/180x100.png/5fa2dd/ffffff
7, Lehepuhur, "€81,04", "Puhastab kiirelt lehed ja mustuse.", http://dummyimage.com/105x100.png/dddddd/000000
8, Naelapüstol, "€59,49", "Kiire naelte kinnitamine erinevatele materjalidele.", http://dummyimage.com/235x100.png/ff4444/ffffff
9, Saag, "€34,76", "Lihtne saag puidu lõikamiseks kodustes töödes.", http://dummyimage.com/179x100.png/5fa2dd/ffffff
10, Kruvikeeraja, "€51,56", "Kruvikeeraja täpseks tööks.", http://dummyimage.com/190x100.png/cc0000/ffffff
11, Haamer, "€36,49", "Mugav haamer kinnitamiseks.", http://dummyimage.com/164x100.png/ff4444/ffffff
12, Ketassaag, "€85,57", "Praktiline ketassaag puidu lõikamiseks.", http://dummyimage.com/190x100.png/cc0000/ffffff
